   831,20452   822,02932     9,17520     831,20452   824,85919     6,34533 
   831,21838   822,04111     9,17727     831,21838   824,87107     6,34732 
  1638,61900  1650,70905   -12,09005    1638,61900  1645,06023    -6,44123 
  1654,36670  1659,66449    -5,29779    1654,36670  1656,83607    -2,46936 
  1654,36623  1656,59564    -2,22940    1654,36623  1656,83584    -2,46961 
  2183,94984  2179,88438     4,06546    2183,94984  2182,64018     1,30966 
  2459,39920  2462,38915    -2,98995    2459,39920  2453,24546     6,15374 
  2488,42680  2498,44409   -10,01729    2488,42680  2494,28845    -5,86165 
  3015,28854  3004,67673    10,61181    3015,28854  3013,85397     1,43457 
  3015,29601  3004,68926    10,60675    3015,29601  3013,86658     1,42943 
  3088,73899  3068,36935    20,36964    3088,73899  3085,14631     3,59268 
  3895,81702  3854,32517    41,49185    3895,81702  3893,08358     2,73345 
  3895,83012  3854,33224    41,49788    3895,83012  3893,09384     2,73628 
  4347,78610  4339,06087     8,72523    4347,78610  4345,71151     2,07459 
  4679,37300  4646,61181    32,76119    4679,37300  4678,33793     1,03507 
  4694,51696  4662,88034    31,63662    4694,51696  4695,32509    -0,80812 
  4694,51650  4662,83621    31,68029    4694,51650  4695,32506    -0,80856 
  5247,08633  5218,21591    28,87042    5247,08633  5245,18888     1,89745 
  6054,56512  6002,31194    52,25317    6054,56512  6055,48357    -0,91845 
  6054,57393  6002,31393    52,26000    6054,57393  6055,49556    -0,92163 
  6078,68415  6016,31696    62,36719    6078,68415  6080,98248    -2,29833 
  7385,94980  7352,49686    33,45294    7385,94980  7389,78572    -3,83592 
